ROW,Question_Text,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,ANSWER,TOPIC,SOURCE,Category_Grouping,QIDs,GROUP CODE
1,Првата помош претставува пружање почетна грижа на повреденото лице на самото место на несреќата.,a) Точно,б) Неточно,,,,a) Точно,First Aid Basics,CKRM PDF,First Aid Basics,FAB01,FAB
2,Целта на првата помош е да со внимателно избрани мерки и постапки да се зачува животот на повредениот и да се спречат можните компликации.,a) Точно,б) Неточно,,,,a) Точно,First Aid Basics,CKRM PDF,First Aid Basics,FAB02,FAB
3,При укажување на прва помош кај повредени можат да се користат следниве средства:,a) Стандардни средства за укажување на прва помош,б) Прирачни средства за укажување на прва помош,в) и со двете наброени,,,в) и со двете наброени,First Aid Equipment,CKRM PDF,First Aid Basics,FAB03,FAB
4,Местото на сообраќајната несреќа треба да се обезбеди на следниов начин:,a) со поставување на сигурносен триаголник,б) со светлосна сигнализација,в) и со двете наброени,,,в) и со двете наброени,Accident Scene Safety,CKRM PDF,Scene & Accident Management,S&A01,S&A
5,Доколку наидете на сообраќајна несреќа потребно е да го направите следново:,а) да го исклучите моторот на оштетеното возило,б) да го закочите моторното возило со помош на рачна сопирачка и/или тврди предмети под тркалата,в) и двете наброени,,,в) и двете наброени,Accident Response,CKRM PDF,Scene & Accident Management,S&A02,S&A
6,За Ваша лична безбедност при потреба од укажување на прва помош потребно е да употребувате:,а) заштитни ракавици,б) џебни маски со филтер,в) и двете наброени,,,в) и двете наброени,Personal Safety,CKRM PDF,First Aid Basics,FAB04,FAB
7,Проверката на свеста на повредениот ја правите на тој начин што пристапувате кон повредениот и:,а) внимателно го протресувате за рамената и го прашувате дали е добро,"б) го штипете, боцкате повредениот за да ви одговори",в) ниедно од горе наведеното,,,а) внимателно го протресувате за рамената и го прашувате дали е добро,Emergency Call,CKRM PDF,Assessment & Prioritization,A&P01,A&P
8,"При повикување на Итна медицинска помош потребно е да се претставите, да го кажете своето име, што се случило, каде се наоѓате, колку лица се повредени и каква е состојбата на повредените.",а) Точно,б) Неточно,,,,а) Точно,Emergency Call,CKRM PDF,First Aid Basics,FAB05,FAB
9,Како ќе ги препознаете повредените кои се во животна опасност:,а) лежат мирно и не бараат помош,б) гласни се и викаат барајќи помош,в) ниедно од горе наведеното,,,а) лежат мирно и не бараат помош,Injury Severity,CKRM PDF,Assessment & Prioritization,A&P02,A&P
10,Доколку повредениот не е во свесна состојба постои опасност од:,"а) запаѓање на јазикот наназад, затварање на дишниот пат и задушување",б) престанок на срцевата работа,в) ниедно од горе наведеното,,,"а) запаѓање на јазикот наназад, затварање на дишниот пат и задушување",Airway Danger,CKRM PDF,"Airway, Breathing, & Circulation",AB&01,AB&
